columna,tipo,descripcion,ciclos
OPENART,double,Apertura al arte y la reflexión (WLE 2022).,2022
OPENVLRN,double,Oportunidades de aprendizaje ambiental en clase (WLE 2025).,2025
OUTHOURS,double,Horas semanales de estudio o clases fuera del horario escolar (2012/2015).,2015
PARED,double,,"2003,2006,2012"
PAREDINT,double,"Años de educación del progenitor o tutor con mayor nivel educativo, según la definición del ciclo. Años con valores integrados: 2003, 2006, 2009, 2012, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2015,2018"
PERCOMP,double,Percepción de competitividad en el centro (WLE 2018).,2018
PERCOOP,double,Percepción de cooperación en el centro (WLE 2018).,2018
PERFEED,double,Feedback percibido del profesor (WLE 2015/2018).,"2015,2018"
PERSEVAGR,double,Perseverancia (WLE 2022).,2022
PERSPECT,double,Toma de perspectiva (WLE 2018).,2018
PESO_MATH,double,Peso del fichero de matemáticas de 2000 (peso por materia; en el resto de ciclos usar W_FSTUWT).,2000
PESO_SCIE,double,Peso del fichero de ciencias de 2000.,2000
PISADIFF,double,Percepción de dificultad de la prueba PISA (WLE 2018). Técnica.,2018
PQENPERC,double,"Preocupación de los padres por temas ambientales (WLE, PAQ 2015).","2015,2025"
PQENVOPT,double,"Visión de los padres sobre los temas ambientales del futuro (WLE, PAQ 2015).","2015,2025"
PQGENSCI,double,"Visión de los padres sobre la ciencia (WLE, PAQ 2015).","2015,2025"
PQSCHOOL,double,"Calidad del centro percibida por los padres (WLE, cuestionario de padres; en España solo 2015 con datos).","2015,2018,2022,2025"
PRESUPP,double,"Actividades científicas pasadas del hijo según los padres (WLE, PAQ 2015).","2015,2018,2025"
PROBSELF,double,Problemas con el aprendizaje autodirigido (WLE 2022; submuestra).,2022
PSYCHSYM,double,Síntomas psicosomáticos (WLE 2022; más alto = más síntomas).,2022
PV10MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV10READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV10SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV1MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV1READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV1SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV2MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV2READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV2SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV3MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV3READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV3SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV4MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV4READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV4SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV5MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV5READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV5SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2000,2003,2006,2012,2015,2018,2022,2025"
PV6MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV6READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV6SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV7MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV7READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV7SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV8MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV8READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV8SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV9MATH,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV9READ,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
PV9SCIE,double,Valor plausible (uso inferencial con pesos; nunca tratar como nota individual).,"2015,2018,2022,2025"
RELATST,double,Calidad de la relación alumno-profesor (WLE 2022).,2022
RESILIENCE,double,Resiliencia percibida ante dificultades (WLE 2018).,2018
RESPECT,double,Respeto por personas de otras culturas (WLE 2018).,2018
SCIEACT,double,Actividades científicas (WLE 2006/2015).,2015
SDLEFF,double,Autoeficacia en aprendizaje autodirigido (WLE 2022; submuestra).,2022
SMINS,double,Minutos semanales de clase de ciencias (2000-2018).,"2015,2018"
SOCCON,double,Conexiones sociales: facilidad para comunicar preocupaciones (WLE 2022).,2022
SOCONPA,double,"Conexión social con los padres: facilidad para hablar de preocupaciones (WLE, 2018/2022).","2018,2022"
SOIAICT,double,Las TIC como tema de interacción social (WLE 2015/2018/2025).,"2015,2018,2025"
ST296Q01JA,string,Tiempo diario de deberes de matemáticas (2022).,2022
ST296Q02JA,string,Tiempo diario de deberes de lengua (2022).,2022
ST296Q03JA,string,Tiempo diario de deberes de ciencias (2022/2025).,"2022,2025"
STUDYHMW,string,Días por semana estudiando o haciendo deberes fuera del horario (2022).,2022
SWBP,double,Bienestar subjetivo: afecto positivo (WLE 2018).,2018
TDTEACH,double,Enseñanza de ciencias dirigida por el profesor (WLE 2015).,2015
TEACHINT,double,Interés percibido del profesor (WLE 2018).,2018
TMINS,double,Minutos semanales totales de instrucción (2003/2015/2018).,"2015,2018"
UNDREM,double,Metacognición lectora: comprender y recordar (2009/2018).,2018
USESCH,double,Uso de TIC en el centro (WLE 2009-2018).,"2015,2018"
WEALTH,double,Riqueza familiar (WLE). Posesiones materiales del hogar; no es renta en euros. Comparabilidad entre ciclos limitada.,"2015,2018"
WORKHOME,string,Días por semana en tareas del hogar o cuidando familiares (2022).,2022
WORKMAST,double,Ética de trabajo y esfuerzo (WLE 2018).,2018
WORKPAY,string,Días por semana trabajando remunerado fuera del horario escolar (2022/2025).,"2022,2025"
W_FSTR1,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR10,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR11,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR12,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR13,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR14,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR15,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR16,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR17,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR18,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR19,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR2,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR20,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR21,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR22,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR23,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR24,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR25,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR26,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR27,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR28,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR29,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR3,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR30,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR31,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR32,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR33,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR34,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR35,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR36,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR37,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR38,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR39,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR4,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR40,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR41,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR42,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR43,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR44,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR45,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR46,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR47,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR48,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR49,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR5,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR50,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR51,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR52,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR53,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR54,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR55,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR56,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR57,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR58,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR59,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR6,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR60,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR61,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR62,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR63,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR64,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR65,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR66,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR67,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR68,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR69,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR7,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR70,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR71,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR72,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR73,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR74,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR75,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR76,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR77,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR78,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR79,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR8,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR80,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTR9,double,Peso replicado BRR/Fay para errores estándar según diseño PISA.,"2000,2003,2006,2012"
W_FSTURWT1,double,,"2015,2018,2022,2025"
W_FSTURWT10,double,,"2015,2018,2022,2025"
W_FSTURWT11,double,,"2015,2018,2022,2025"
W_FSTURWT12,double,,"2015,2018,2022,2025"
W_FSTURWT13,double,,"2015,2018,2022,2025"
W_FSTURWT14,double,,"2015,2018,2022,2025"
W_FSTURWT15,double,,"2015,2018,2022,2025"
W_FSTURWT16,double,,"2015,2018,2022,2025"
W_FSTURWT17,double,,"2015,2018,2022,2025"
W_FSTURWT18,double,,"2015,2018,2022,2025"
W_FSTURWT19,double,,"2015,2018,2022,2025"
W_FSTURWT2,double,,"2015,2018,2022,2025"
W_FSTURWT20,double,,"2015,2018,2022,2025"
W_FSTURWT21,double,,"2015,2018,2022,2025"
W_FSTURWT22,double,,"2015,2018,2022,2025"
W_FSTURWT23,double,,"2015,2018,2022,2025"
W_FSTURWT24,double,,"2015,2018,2022,2025"
W_FSTURWT25,double,,"2015,2018,2022,2025"
W_FSTURWT26,double,,"2015,2018,2022,2025"
W_FSTURWT27,double,,"2015,2018,2022,2025"
W_FSTURWT28,double,,"2015,2018,2022,2025"
W_FSTURWT29,double,,"2015,2018,2022,2025"
W_FSTURWT3,double,,"2015,2018,2022,2025"
W_FSTURWT30,double,,"2015,2018,2022,2025"
W_FSTURWT31,double,,"2015,2018,2022,2025"
W_FSTURWT32,double,,"2015,2018,2022,2025"
W_FSTURWT33,double,,"2015,2018,2022,2025"
W_FSTURWT34,double,,"2015,2018,2022,2025"
W_FSTURWT35,double,,"2015,2018,2022,2025"
W_FSTURWT36,double,,"2015,2018,2022,2025"
W_FSTURWT37,double,,"2015,2018,2022,2025"
W_FSTURWT38,double,,"2015,2018,2022,2025"
W_FSTURWT39,double,,"2015,2018,2022,2025"
W_FSTURWT4,double,,"2015,2018,2022,2025"
W_FSTURWT40,double,,"2015,2018,2022,2025"
W_FSTURWT41,double,,"2015,2018,2022,2025"
W_FSTURWT42,double,,"2015,2018,2022,2025"
W_FSTURWT43,double,,"2015,2018,2022,2025"
W_FSTURWT44,double,,"2015,2018,2022,2025"
W_FSTURWT45,double,,"2015,2018,2022,2025"
W_FSTURWT46,double,,"2015,2018,2022,2025"
W_FSTURWT47,double,,"2015,2018,2022,2025"
W_FSTURWT48,double,,"2015,2018,2022,2025"
W_FSTURWT49,double,,"2015,2018,2022,2025"
W_FSTURWT5,double,,"2015,2018,2022,2025"
W_FSTURWT50,double,,"2015,2018,2022,2025"
W_FSTURWT51,double,,"2015,2018,2022,2025"
W_FSTURWT52,double,,"2015,2018,2022,2025"
W_FSTURWT53,double,,"2015,2018,2022,2025"
W_FSTURWT54,double,,"2015,2018,2022,2025"
W_FSTURWT55,double,,"2015,2018,2022,2025"
W_FSTURWT56,double,,"2015,2018,2022,2025"
W_FSTURWT57,double,,"2015,2018,2022,2025"
W_FSTURWT58,double,,"2015,2018,2022,2025"
W_FSTURWT59,double,,"2015,2018,2022,2025"
W_FSTURWT6,double,,"2015,2018,2022,2025"
W_FSTURWT60,double,,"2015,2018,2022,2025"
W_FSTURWT61,double,,"2015,2018,2022,2025"
W_FSTURWT62,double,,"2015,2018,2022,2025"
